Performance data spans 3:19.445497 mm:ss  from 2021/03/31 21:43:32 to 2021/03/31 21:46:51

Exclusive  % of CPU  Function (defining location)
 CPU time      Time  
       in            
 seconds.            
 8.508000  4.277569  G4MuPairProductionModel::ComputeDMicroscopicCrossSection(double, double, double) [clone .part.29] (cmsExp: G4MuPairProductionModel.cc,300:10)
 5.459000  2.744623  G4ProductionCutsTable::ScanAndSetCouple(G4LogicalVolume*, G4MaterialCutsCouple*, G4Region*) [clone .part.45] (cmsExp: G4ProductionCutsTable.cc,380:6)
 5.075000  2.551559  G4ElasticHadrNucleusHE::HadrNucDifferCrSec(int, double) (cmsExp: G4ElasticHadrNucleusHE.cc,817:1)
 4.707000  2.366540  G4VEmProcess::PostStepGetPhysicalInteractionLength(G4Track const&, double, G4ForceCondition*) (cmsExp: G4VEmProcess.cc,544:1)
 4.651000  2.338384  __ieee754_atan2_avx (libm-2.17.so)
 4.594000  2.309727  G4VoxelNavigation::LevelLocate(G4NavigationHistory&, G4VPhysicalVolume const*, int, CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const*, bool, CLHEP::Hep3Vector&) (cmsExp: G4VoxelNavigation.icc,103:1)
 3.389000  1.703888  G4Navigator::ComputeStep(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, double, double&) (cmsExp: G4Navigator.cc,774:1)
 3.247000  1.632495  __libc_read (libpthread-2.17.so)
 3.191000  1.604340  G4Navigator::LocateGlobalPointAndSetup(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const*, bool, bool) (cmsExp: G4Navigator.cc,136:1)
 3.169000  1.593279  G4SteppingManager::DefinePhysicalStepLength() (cmsExp: G4SteppingManager2.cc,128:1)
 2.934000  1.475128  G4VoxelNavigation::ComputeStep(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, double, double&, G4NavigationHistory&, bool&, CLHEP::Hep3Vector&, bool&, bool&, G4VPhysicalVolume**, int&) (cmsExp: G4VoxelNavigation.cc,86:1)
 2.744000  1.379602  cmsExpMagneticField::GetVolumeBaseBfield(double const*, double*) const (cmsExp: cmsExpMagneticField.cc,82:1)
 2.569000  1.291617  G4SteppingManager::Stepping() (cmsExp: G4SteppingManager.cc,122:1)
 2.531000  1.272512  G4Transportation::AlongStepGetPhysicalInteractionLength(G4Track const&, double, double, double&, G4GPILSelection*) (cmsExp: G4Transportation.cc,186:1)
 2.456000  1.234804  G4NavigationLevel::operator=(G4NavigationLevel const&) (cmsExp: G4NavigationLevel.cc,78:3)
 2.383000  1.198102  __sin_avx (libm-2.17.so)
 2.200000  1.106095  G4VDiscreteProcess::PostStepGetPhysicalInteractionLength(G4Track const&, double, G4ForceCondition*) (cmsExp: G4VDiscreteProcess.cc,74:1)
 2.187000  1.099559  G4Transportation::PostStepDoIt(G4Track const&, G4Step const&) (cmsExp: G4Transportation.cc,657:1)
 2.157000  1.084475  G4PhysicsVector::Value(double, unsigned long&) const (cmsExp: G4PhysicsVector.cc,522:3)
 2.080000  1.045762  G4NeutronCaptureXS::GetElementCrossSection(G4DynamicParticle const*, int, G4Material const*) (cmsExp: G4NeutronCaptureXS.cc,110:46)
 2.080000  1.045762  G4SteppingManager::InvokePSDIP(unsigned long) (cmsExp: G4SteppingManager2.cc,588:1)
 2.030000  1.020624  G4CrossSectionDataStore::ComputeCrossSection(G4DynamicParticle const*, G4Material const*) (cmsExp: G4CrossSectionDataStore.cc,109:28)
 2.028000  1.019618  G4CrossSectionDataStore::GetCrossSection(G4DynamicParticle const*, G4Element const*, G4Material const*) (cmsExp: G4CrossSectionDataStore.cc,136:1)
 1.873000  0.941689  __cos_avx (libm-2.17.so)
 1.791000  0.900462  G4TouchableHistory::GetVolume(int) const (cmsExp: G4NavigationHistory.icc,169:26)
